experiment,matrix,scheme,selected_mode,frames,n,k,tx_len,effective_rate,EbN0_dB,BER,BER_info,FER,FER_info,FER_code,AvgIter,bit_errors,info_bit_errors,frame_errors,code_frame_errors,upper95_if_zero_info,weak_concentration,block_imbalance,coupling_risk,rate_zone,hot_coverage_ratio,hot_top10_edge_share,hot_duplicate_pattern_ratio,hot_max_use_count,hot_pair_reuse_max,hot_quality_score,ext_coverage_ratio,ext_top10_edge_share,ext_duplicate_pattern_ratio,ext_max_use_count,ext_pair_reuse_max,ext_quality_score,adaptive_reason,selection_short_frames,selection_extra_decodes
Exp1_NoRepeat_baseline,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,100000,768,384,768,0.5,1.75,0.0296666927083,0.041957890625,0.99931,0.99931,0.99948,45.43693,2278402,1611183,99931,99948,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_NoRepeat_baseline,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,100000,768,384,768,0.5,2,0.0239469661458,0.035513828125,0.99798,0.99798,0.9984,42.55931,1839127,1363731,99798,99840,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_NoRepeat_baseline,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,100000,768,384,768,0.5,2.25,0.019450234375,0.0301634114583,0.99535,0.99535,0.99609,38.65526,1493778,1158275,99535,99609,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_NoRepeat_baseline,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,100000,768,384,768,0.5,2.5,0.0157293098958,0.0254265364583,0.98999,0.98999,0.99159,33.95643,1208011,976379,98999,99159,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_NoRepeat_baseline,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,100000,768,384,768,0.5,2.75,0.012868203125,0.0215378125,0.98071,0.98071,0.98306,29.12822,988278,827052,98071,98306,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_NoRepeat_baseline,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,100000,768,384,768,0.5,3,0.010539765625,0.018208984375,0.96614,0.96614,0.96959,24.03113,809454,699225,96614,96959,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformRepeat,UniformRepeat,100000,768,384,960,0.4,1.25,0.0495659375,0.054679375,0.99989,0.99989,0.99993,48.99499,3806664,2099688,99989,99993,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformRepeat,UniformRepeat,100000,768,384,960,0.4,1.5,0.0395791276042,0.0459601822917,0.99959,0.99959,0.99972,47.8443,3039677,1764871,99959,99972,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformRepeat,UniformRepeat,100000,768,384,960,0.4,1.75,0.0313889973958,0.0386873697917,0.9988,0.9988,0.99915,45.86352,2410675,1485595,99880,99915,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformRepeat,UniformRepeat,100000,768,384,960,0.4,2,0.0247144791667,0.0323224739583,0.99671,0.99671,0.99764,42.89168,1898072,1241183,99671,99764,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformRepeat,UniformRepeat,100000,768,384,960,0.4,2.25,0.0195690625,0.0271843489583,0.99346,0.99346,0.99496,39.0077,1502904,1043879,99346,99496,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformRepeat,UniformRepeat,100000,768,384,960,0.4,2.5,0.0155729296875,0.0229852604167,0.98639,0.98639,0.98897,34.32869,1196001,882634,98639,98897,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,RepeatKeep,RepeatKeep,100000,768,384,960,0.4,1.25,0.047558828125,0.0489159895833,0.99914,0.99914,0.99943,48.52644,3652518,1878374,99914,99943,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,RepeatKeep,RepeatKeep,100000,768,384,960,0.4,1.5,0.0368841927083,0.0396371614583,0.99721,0.99721,0.99777,46.82872,2832706,1522067,99721,99777,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,RepeatKeep,RepeatKeep,100000,768,384,960,0.4,1.75,0.0281582421875,0.0318793229167,0.9929,0.9929,0.99433,44.1212,2162553,1224166,99290,99433,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,RepeatKeep,RepeatKeep,100000,768,384,960,0.4,2,0.0211301171875,0.0253638802083,0.98377,0.98377,0.98706,40.27879,1622793,973973,98377,98706,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,RepeatKeep,RepeatKeep,100000,768,384,960,0.4,2.25,0.0159380338542,0.0203114322917,0.96832,0.96832,0.97326,35.41117,1224041,779959,96832,97326,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,RepeatKeep,RepeatKeep,100000,768,384,960,0.4,2.5,0.0120896744792,0.0163334635417,0.94275,0.94275,0.95053,30.29966,928487,627205,94275,95053,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformParity,UniformParity,100000,960,384,960,0.4,1.25,0.03675565625,0.0378113020833,0.91019,0.91019,0.91565,38.19725,3528543,1451954,91019,91565,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformParity,UniformParity,100000,960,384,960,0.4,1.5,0.0256968645833,0.0272337760417,0.86192,0.86192,0.86863,32.53787,2466899,1045777,86192,86863,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformParity,UniformParity,100000,960,384,960,0.4,1.75,0.0182957291667,0.019930078125,0.80119,0.80119,0.80809,26.54496,1756390,765315,80119,80809,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformParity,UniformParity,100000,960,384,960,0.4,2,0.0134614375,0.0150090364583,0.73105,0.73105,0.73814,21.16803,1292298,576347,73105,73814,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformParity,UniformParity,100000,960,384,960,0.4,2.25,0.0100883333333,0.011388984375,0.6545,0.6545,0.66098,16.48973,968480,437337,65450,66098,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformParity,UniformParity,100000,960,384,960,0.4,2.5,0.00769953125,0.00878453125,0.57558,0.57558,0.58094,12.86934,739155,337326,57558,58094,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_EbN0,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,100000,768,384,768,0.5,1.5,0.0367709505208,0.049633359375,0.99975,0.99975,0.99983,47.59592,2824009,1905921,99975,99983,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_EbN0,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,100000,768,384,768,0.5,1.75,0.0296187369792,0.0419333854167,0.99925,0.99925,0.99943,45.49577,2274719,1610242,99925,99943,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_EbN0,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,100000,768,384,768,0.5,2,0.0240038151042,0.035574453125,0.99806,0.99806,0.99851,42.50072,1843493,1366059,99806,99851,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_EbN0,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,100000,768,384,768,0.5,2.25,0.0193357942708,0.0300317708333,0.99525,0.99525,0.99612,38.53222,1484989,1153220,99525,99612,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_EbN0,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,100000,768,384,768,0.5,2.5,0.0157730729167,0.0254965104167,0.99,0.99,0.99145,34.10773,1211372,979066,99000,99145,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
