experiment,matrix,scheme,selected_mode,frames,n,k,tx_len,effective_rate,EbN0_dB,BER,BER_info,FER,FER_info,FER_code,AvgIter,bit_errors,info_bit_errors,frame_errors,code_frame_errors,upper95_if_zero_info,weak_concentration,block_imbalance,coupling_risk,rate_zone,hot_coverage_ratio,hot_top10_edge_share,hot_duplicate_pattern_ratio,hot_max_use_count,hot_pair_reuse_max,hot_quality_score,ext_coverage_ratio,ext_top10_edge_share,ext_duplicate_pattern_ratio,ext_max_use_count,ext_pair_reuse_max,ext_quality_score,adaptive_reason,selection_short_frames,selection_extra_decodes
Exp3_R0348_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,1103,384,1103,0.348141432457,1.5,0.00452315503173,0.003437734375,0.23846,0.23846,0.26006,14.94303,498904,132009,23846,26006,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,1103,384,1103,0.348141432457,1.75,0.00262207615594,0.001815546875,0.17946,0.17946,0.19627,11.48467,289215,69717,17946,19627,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,1103,384,1103,0.348141432457,2,0.00181026291931,0.001220546875,0.13726,0.13726,0.14938,9.08656,199672,46869,13726,14938,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,1103,384,1103,0.348141432457,2.25,0.00126072529465,0.000836145833333,0.10169,0.10169,0.1098,7.35101,139058,32108,10169,10980,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,1103,384,1103,0.348141432457,2.5,0.000893028105168,0.000588255208333,0.07524,0.07524,0.08057,6.06663,98501,22589,7524,8057,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,100000,1103,384,1103,0.348141432457,1.5,0.00618477787851,0.004525546875,0.34742,0.34742,0.36143,11.42991,682181,173781,34742,36143,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,100000,1103,384,1103,0.348141432457,1.75,0.0041229011786,0.00290013020833,0.28649,0.28649,0.29695,8.64301,454756,111365,28649,29695,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,100000,1103,384,1103,0.348141432457,2,0.00300735267452,0.00208588541667,0.23438,0.23438,0.24189,6.78361,331711,80098,23438,24189,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,100000,1103,384,1103,0.348141432457,2.25,0.00232101541251,0.00160255208333,0.1952,0.1952,0.20098,5.615,256008,61538,19520,20098,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,100000,1103,384,1103,0.348141432457,2.5,0.00171705349048,0.00118861979167,0.15424,0.15424,0.15785,4.70957,189391,45643,15424,15785,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R04_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,960,384,960,0.4,1.5,0.0142881979167,0.0123740625,0.63152,0.63152,0.65109,22.00724,1371667,475164,63152,65109,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R04_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,960,384,960,0.4,1.75,0.00951964583333,0.0081640625,0.54484,0.54484,0.56181,16.58111,913886,313500,54484,56181,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R04_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,960,384,960,0.4,2,0.00681263541667,0.00578265625,0.463,0.463,0.47778,12.60611,654013,222054,46300,47778,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R04_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,960,384,960,0.4,2.25,0.00501760416667,0.004216484375,0.39481,0.39481,0.40649,9.74285,481690,161913,39481,40649,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R04_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,960,384,960,0.4,2.5,0.00371475,0.00310434895833,0.32534,0.32534,0.33406,7.55284,356616,119207,32534,33406,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R04_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,100000,960,384,960,0.4,1.5,0.0155293645833,0.0142269270833,0.72726,0.72726,0.74364,21.84614,1490819,546314,72726,74364,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R04_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,100000,960,384,960,0.4,1.75,0.0107961145833,0.009894921875,0.65167,0.65167,0.66834,16.64875,1036427,379965,65167,66834,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R04_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,100000,960,384,960,0.4,2,0.00802666666667,0.007361640625,0.58091,0.58091,0.59607,12.72095,770560,282687,58091,59607,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R04_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,100000,960,384,960,0.4,2.25,0.006031125,0.005529453125,0.50734,0.50734,0.52047,9.8397,578988,212331,50734,52047,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R04_Hotspot_vs_ExtParityV2,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,100000,960,384,960,0.4,2.5,0.00455595833333,0.00417497395833,0.43534,0.43534,0.44642,7.70083,437372,160319,43534,44642,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,B_balanced_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,1103,384,1103,0.348141432457,1.5,0.00197154125113,0.001714296875,0.05437,0.05437,0.05669,10.19746,217461,65829,5437,5669,0,0.160508751648,0.333531544223,0,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp3_R0348_Hotspot_vs_ExtParityV2,B_balanced_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,1103,384,1103,0.348141432457,1.75,0.000545367180417,0.0004009375,0.03192,0.03192,0.03323,7.83269,60154,15396,3192,3323,0,0.160508751648,0.333531544223,0,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
