experiment,matrix,scheme,selected_mode,frames,n,k,tx_len,effective_rate,EbN0_dB,BER,BER_info,FER,FER_info,FER_code,AvgIter,bit_errors,info_bit_errors,frame_errors,code_frame_errors,upper95_if_zero_info,weak_concentration,block_imbalance,coupling_risk,rate_zone,hot_coverage_ratio,hot_top10_edge_share,hot_duplicate_pattern_ratio,hot_max_use_count,hot_pair_reuse_max,hot_quality_score,ext_coverage_ratio,ext_top10_edge_share,ext_duplicate_pattern_ratio,ext_max_use_count,ext_pair_reuse_max,ext_quality_score,adaptive_reason,selection_short_frames,selection_extra_decodes
Exp7_Generalization_R04,B_balanced_QC_12x24_Z32,UniformParity,UniformParity,100000,960,384,960,0.4,1.75,0.00562577083333,0.00462111979167,0.18712,0.18712,0.18823,16.08252,540074,177451,18712,18823,0,0.160508751648,0.333531544223,0,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,B_balanced_QC_12x24_Z32,UniformParity,UniformParity,100000,960,384,960,0.4,2,0.00284182291667,0.00227317708333,0.12493,0.12493,0.12558,12.0277,272815,87290,12493,12558,0,0.160508751648,0.333531544223,0,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,B_balanced_QC_12x24_Z32,UniformParity,UniformParity,100000,960,384,960,0.4,2.25,0.00154640625,0.00121322916667,0.08547,0.08547,0.08579,9.17648,148455,46588,8547,8579,0,0.160508751648,0.333531544223,0,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,B_balanced_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,960,384,960,0.4,1.75,0.00161065625,0.00112958333333,0.09338,0.09338,0.09475,10.77238,154623,43376,9338,9475,0,0.160508751648,0.333531544223,0,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,B_balanced_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,960,384,960,0.4,2,0.000853,0.000577578125,0.06321,0.06321,0.06392,8.34562,81888,22179,6321,6392,0,0.160508751648,0.333531544223,0,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,B_balanced_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,960,384,960,0.4,2.25,0.00051046875,0.000343463541667,0.04337,0.04337,0.04385,6.78554,49005,13189,4337,4385,0,0.160508751648,0.333531544223,0,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,B_balanced_QC_12x24_Z32,ExtParityV2,ExtParityV2,100000,960,384,960,0.4,1.75,0.00147208333333,0.000977890625,0.08167,0.08167,0.08291,9.37429,141320,37551,8167,8291,0,0.160508751648,0.333531544223,0,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,B_balanced_QC_12x24_Z32,ExtParityV2,ExtParityV2,100000,960,384,960,0.4,2,0.000722864583333,0.000449765625,0.05217,0.05217,0.05277,7.14683,69395,17271,5217,5277,0,0.160508751648,0.333531544223,0,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,B_balanced_QC_12x24_Z32,ExtParityV2,ExtParityV2,100000,960,384,960,0.4,2.25,0.000463052083333,0.000280338541667,0.03744,0.03744,0.03777,5.8241,44453,10765,3744,3777,0,0.160508751648,0.333531544223,0,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,B_balanced_QC_12x24_Z32,AdaptiveStructV2,ExtParityV2,100000,960,384,960,0.4,1.75,0.00147715625,0.000985026041667,0.08194,0.08194,0.08313,9.37225,141807,37825,8194,8313,0,0.160508751648,0.333531544223,0,middle_rate_limited_redundancy,0.822916666667,0.158333333333,0,4,1,0.691450119202,1,0.11875,0,3,1,0.819712505649,weakness_not_concentrated_enough,0,0
Exp7_Generalization_R04,B_balanced_QC_12x24_Z32,AdaptiveStructV2,ExtParityV2,100000,960,384,960,0.4,2,0.000737822916667,0.000455729166667,0.05318,0.05318,0.05397,7.19605,70831,17500,5318,5397,0,0.160508751648,0.333531544223,0,middle_rate_limited_redundancy,0.822916666667,0.158333333333,0,4,1,0.691450119202,1,0.11875,0,3,1,0.819712505649,weakness_not_concentrated_enough,0,0
Exp7_Generalization_R04,B_balanced_QC_12x24_Z32,AdaptiveStructV2,ExtParityV2,100000,960,384,960,0.4,2.25,0.000456166666667,0.000273828125,0.03774,0.03774,0.0382,5.82079,43792,10515,3774,3820,0,0.160508751648,0.333531544223,0,middle_rate_limited_redundancy,0.822916666667,0.158333333333,0,4,1,0.691450119202,1,0.11875,0,3,1,0.819712505649,weakness_not_concentrated_enough,0,0
Exp7_Generalization_R04,C_long_QC_14x28_Z32,UniformParity,UniformParity,100000,1120,448,1120,0.4,1.75,0.00456510714286,0.00366801339286,0.25178,0.25178,0.2603,20.08299,511292,164327,25178,26030,0,0.165647055002,0.507704803558,0.0267857142857,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,C_long_QC_14x28_Z32,UniformParity,UniformParity,100000,1120,448,1120,0.4,2,0.00259046428571,0.00208752232143,0.18282,0.18282,0.19001,15.82125,290132,93521,18282,19001,0,0.165647055002,0.507704803558,0.0267857142857,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,C_long_QC_14x28_Z32,UniformParity,UniformParity,100000,1120,448,1120,0.4,2.25,0.00153202678571,0.00124743303571,0.12858,0.12858,0.1343,12.41103,171587,55885,12858,13430,0,0.165647055002,0.507704803558,0.0267857142857,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,C_long_QC_14x28_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,1120,448,1120,0.4,1.75,0.00270995535714,0.00219598214286,0.28884,0.28884,0.29873,20.26252,303515,98380,28884,29873,0,0.165647055002,0.507704803558,0.0267857142857,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,C_long_QC_14x28_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,1120,448,1120,0.4,2,0.0018079375,0.00152328125,0.23353,0.23353,0.24112,16.95208,202489,68243,23353,24112,0,0.165647055002,0.507704803558,0.0267857142857,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,C_long_QC_14x28_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,1120,448,1120,0.4,2.25,0.00129008035714,0.00113977678571,0.19093,0.19093,0.19614,14.40112,144489,51062,19093,19614,0,0.165647055002,0.507704803558,0.0267857142857,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,C_long_QC_14x28_Z32,ExtParityV2,ExtParityV2,100000,1120,448,1120,0.4,1.75,0.00169341071429,0.00112828125,0.12295,0.12295,0.12908,12.69308,189662,50547,12295,12908,0,0.165647055002,0.507704803558,0.0267857142857,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,C_long_QC_14x28_Z32,ExtParityV2,ExtParityV2,100000,1120,448,1120,0.4,2,0.000952428571429,0.000619910714286,0.08554,0.08554,0.08999,9.94446,106672,27772,8554,8999,0,0.165647055002,0.507704803558,0.0267857142857,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,C_long_QC_14x28_Z32,ExtParityV2,ExtParityV2,100000,1120,448,1120,0.4,2.25,0.000585410714286,0.000378013392857,0.05872,0.05872,0.06147,7.887,65566,16935,5872,6147,0,0.165647055002,0.507704803558,0.0267857142857,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,C_long_QC_14x28_Z32,AdaptiveStructV2,ExtParityV2,100000,1120,448,1120,0.4,1.75,0.00170995535714,0.00113761160714,0.12501,0.12501,0.13101,12.82304,191515,50965,12501,13101,0,0.165647055002,0.507704803558,0.0267857142857,middle_rate_limited_redundancy,0.810267857143,0.166964285714,0,5,2,0.696265781381,1,0.117857142857,0,3,1,0.821885362761,ext_quality_or_rate_gate,0,0
Exp7_Generalization_R04,C_long_QC_14x28_Z32,AdaptiveStructV2,ExtParityV2,100000,1120,448,1120,0.4,2,0.0009490625,0.000613883928571,0.08608,0.08608,0.0904,9.95323,106295,27502,8608,9040,0,0.165647055002,0.507704803558,0.0267857142857,middle_rate_limited_redundancy,0.810267857143,0.166964285714,0,5,2,0.696265781381,1,0.117857142857,0,3,1,0.821885362761,ext_quality_or_rate_gate,0,0
Exp7_Generalization_R04,C_long_QC_14x28_Z32,AdaptiveStructV2,ExtParityV2,100000,1120,448,1120,0.4,2.25,0.000579125,0.000371629464286,0.05822,0.05822,0.06112,7.87202,64862,16649,5822,6112,0,0.165647055002,0.507704803558,0.0267857142857,middle_rate_limited_redundancy,0.810267857143,0.166964285714,0,5,2,0.696265781381,1,0.117857142857,0,3,1,0.821885362761,ext_quality_or_rate_gate,0,0
Exp7_Generalization_R04,D_short_hotspot_QC_8x16_Z32,UniformParity,UniformParity,100000,640,256,640,0.4,1.75,0.01974853125,0.0213530859375,0.63943,0.63943,0.64047,29.916,1263906,546639,63943,64047,0,0.163091550724,0.515695087169,0,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,D_short_hotspot_QC_8x16_Z32,UniformParity,UniformParity,100000,640,256,640,0.4,2,0.013680515625,0.015398359375,0.56183,0.56183,0.56246,25.43123,875553,394198,56183,56246,0,0.163091550724,0.515695087169,0,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,D_short_hotspot_QC_8x16_Z32,UniformParity,UniformParity,100000,640,256,640,0.4,2.25,0.00989103125,0.0115190625,0.48784,0.48784,0.48843,21.48595,633026,294888,48784,48843,0,0.163091550724,0.515695087169,0,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,D_short_hotspot_QC_8x16_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,640,256,640,0.4,1.75,0.006191328125,0.005054296875,0.186,0.186,0.18709,12.09088,396245,129390,18600,18709,0,0.163091550724,0.515695087169,0,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp7_Generalization_R04,D_short_hotspot_QC_8x16_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,640,256,640,0.4,2,0.00335628125,0.0026039453125,0.13395,0.13395,0.13452,8.99932,214802,66661,13395,13452,0,0.163091550724,0.515695087169,0,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
