experiment,matrix,scheme,selected_mode,frames,n,k,tx_len,effective_rate,EbN0_dB,BER,BER_info,FER,FER_info,FER_code,AvgIter,bit_errors,info_bit_errors,frame_errors,code_frame_errors,upper95_if_zero_info,weak_concentration,block_imbalance,coupling_risk,rate_zone,hot_coverage_ratio,hot_top10_edge_share,hot_duplicate_pattern_ratio,hot_max_use_count,hot_pair_reuse_max,hot_quality_score,ext_coverage_ratio,ext_top10_edge_share,ext_duplicate_pattern_ratio,ext_max_use_count,ext_pair_reuse_max,ext_quality_score,adaptive_reason,selection_short_frames,selection_extra_decodes
Exp8_ThresholdScan_R04,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,100000,768,384,768,0.5,1.6,0.03386171875,0.0465591666667,0.9995,0.9995,0.9996,46.86642,2600580,1787872,99950,99960,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp8_ThresholdScan_R04,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,100000,768,384,768,0.5,1.7,0.0310112890625,0.043473515625,0.99935,0.99935,0.99955,46.03691,2381667,1669383,99935,99955,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp8_ThresholdScan_R04,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,100000,768,384,768,0.5,1.8,0.0284921744792,0.0406790364583,0.99896,0.99896,0.99917,44.95938,2188199,1562075,99896,99917,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp8_ThresholdScan_R04,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,100000,768,384,768,0.5,1.9,0.0261231510417,0.038037109375,0.99846,0.99846,0.99887,43.8027,2006258,1460625,99846,99887,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp8_ThresholdScan_R04,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,100000,768,384,768,0.5,2,0.0239371223958,0.0355406770833,0.99801,0.99801,0.99837,42.52192,1838371,1364762,99801,99837,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp8_ThresholdScan_R04,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,100000,768,384,768,0.5,2.1,0.0219761197917,0.0332323958333,0.99726,0.99726,0.99783,41.06777,1687766,1276124,99726,99783,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp8_ThresholdScan_R04,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,100000,768,384,768,0.5,2.2,0.0201867838542,0.0310629427083,0.99596,0.99596,0.99679,39.36899,1550345,1192817,99596,99679,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp8_ThresholdScan_R04,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,100000,768,384,768,0.5,2.3,0.0185551692708,0.0290519010417,0.99429,0.99429,0.99546,37.75042,1425037,1115593,99429,99546,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp8_ThresholdScan_R04,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,100000,768,384,768,0.5,2.4,0.0171306901042,0.0272249739583,0.99208,0.99208,0.99334,35.96843,1315637,1045439,99208,99334,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp8_ThresholdScan_R04,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,100000,768,384,768,0.5,2.5,0.0157317447917,0.0254186197917,0.99005,0.99005,0.99148,34.0259,1208198,976075,99005,99148,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
