experiment,matrix,scheme,selected_mode,frames,n,k,tx_len,effective_rate,EbN0_dB,BER,BER_info,FER,FER_info,FER_code,AvgIter,bit_errors,info_bit_errors,frame_errors,code_frame_errors,upper95_if_zero_info,weak_concentration,block_imbalance,coupling_risk,rate_zone,hot_coverage_ratio,hot_top10_edge_share,hot_duplicate_pattern_ratio,hot_max_use_count,hot_pair_reuse_max,hot_quality_score,ext_coverage_ratio,ext_top10_edge_share,ext_duplicate_pattern_ratio,ext_max_use_count,ext_pair_reuse_max,ext_quality_score,adaptive_reason,selection_short_frames,selection_extra_decodes
Exp9_Engineering_R04,A_main_QC_12x24_Z32,AdaptiveStructV2,HotspotOnlyParity,100000,960,384,960,0.4,1.75,0.00955486458333,0.00817869791667,0.54592,0.54592,0.56288,16.60745,917267,314062,54592,56288,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0.822916666667,0.138541666667,0,4,1,0.71923608033,1,0.11875,0,3,1,0.824535919173,hot_safe_static_gate,0,0
Exp9_Engineering_R04,A_main_QC_12x24_Z32,AdaptiveStructV2,HotspotOnlyParity,100000,960,384,960,0.4,2,0.00680088541667,0.00577419270833,0.46529,0.46529,0.47973,12.62076,652885,221729,46529,47973,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0.822916666667,0.138541666667,0,4,1,0.71923608033,1,0.11875,0,3,1,0.824535919173,hot_safe_static_gate,0,0
Exp9_Engineering_R04,A_main_QC_12x24_Z32,AdaptiveStructV2,HotspotOnlyParity,100000,960,384,960,0.4,2.25,0.00497733333333,0.004187890625,0.39243,0.39243,0.40406,9.69692,477824,160815,39243,40406,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0.822916666667,0.138541666667,0,4,1,0.71923608033,1,0.11875,0,3,1,0.824535919173,hot_safe_static_gate,0,0
Exp9_Engineering_R04,A_main_QC_12x24_Z32,AdaptiveSelectV8,HotspotOnlyParity,100000,960,384,960,0.4,1.75,0.00957095833333,0.0081959375,0.54406,0.54406,0.56107,16.64246,918812,314724,54406,56107,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,1000,2000
Exp9_Engineering_R04,A_main_QC_12x24_Z32,AdaptiveSelectV8,HotspotOnlyParity,100000,960,384,960,0.4,2,0.006850375,0.00582216145833,0.46641,0.46641,0.4802,12.6314,657636,223571,46641,48020,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,1000,2000
Exp9_Engineering_R04,A_main_QC_12x24_Z32,AdaptiveSelectV8,HotspotOnlyParity,100000,960,384,960,0.4,2.25,0.00497992708333,0.00418755208333,0.39151,0.39151,0.40231,9.65758,478073,160802,39151,40231,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,1000,2000
Exp9_Engineering_R04,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,100000,960,384,960,0.4,1.75,0.0109393020833,0.0100486979167,0.65623,0.65623,0.67304,16.79542,1050173,385870,65623,67304,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp9_Engineering_R04,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,100000,960,384,960,0.4,2,0.0080629375,0.00740122395833,0.58304,0.58304,0.59793,12.82238,774042,284207,58304,59793,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp9_Engineering_R04,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,100000,960,384,960,0.4,2.25,0.00597880208333,0.00548744791667,0.5043,0.5043,0.51769,9.85718,573965,210718,50430,51769,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp9_Engineering_R04,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,960,384,960,0.4,1.75,0.00961135416667,0.008269765625,0.54847,0.54847,0.56527,16.63355,922690,317559,54847,56527,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp9_Engineering_R04,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,100000,960,384,960,0.4,2,0.00684246875,0.00581833333333,0.46653,0.46653,0.48072,12.66646,656877,223424,46653,48072,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
