[done] Exp1_NoRepeat_baseline | A_main_QC_12x24_Z32 | NoRepeat | EbN0=1.75
[done] Exp1_NoRepeat_baseline | A_main_QC_12x24_Z32 | NoRepeat | EbN0=2
[done] Exp1_NoRepeat_baseline | A_main_QC_12x24_Z32 | NoRepeat | EbN0=2.25
[done] Exp1_NoRepeat_baseline | A_main_QC_12x24_Z32 | NoRepeat | EbN0=2.5
[done] Exp1_NoRepeat_baseline | A_main_QC_12x24_Z32 | NoRepeat | EbN0=2.75
[done] Exp1_NoRepeat_baseline | A_main_QC_12x24_Z32 | NoRepeat | EbN0=3
[done] Exp1_same_rate_R04 | A_main_QC_12x24_Z32 | UniformRepeat | EbN0=1.25
[done] Exp1_same_rate_R04 | A_main_QC_12x24_Z32 | UniformRepeat | EbN0=1.5
[done] Exp1_same_rate_R04 | A_main_QC_12x24_Z32 | UniformRepeat | EbN0=1.75
[done] Exp1_same_rate_R04 | A_main_QC_12x24_Z32 | UniformRepeat | EbN0=2
[done] Exp1_same_rate_R04 | A_main_QC_12x24_Z32 | UniformRepeat | EbN0=2.25
[done] Exp1_same_rate_R04 | A_main_QC_12x24_Z32 | UniformRepeat | EbN0=2.5
[done] Exp1_same_rate_R04 | A_main_QC_12x24_Z32 | RepeatKeep | EbN0=1.25
[done] Exp1_same_rate_R04 | A_main_QC_12x24_Z32 | RepeatKeep | EbN0=1.5
[done] Exp1_same_rate_R04 | A_main_QC_12x24_Z32 | RepeatKeep | EbN0=1.75
[done] Exp1_same_rate_R04 | A_main_QC_12x24_Z32 | RepeatKeep | EbN0=2
[done] Exp1_same_rate_R04 | A_main_QC_12x24_Z32 | RepeatKeep | EbN0=2.25
[done] Exp1_same_rate_R04 | A_main_QC_12x24_Z32 | RepeatKeep | EbN0=2.5
[done] Exp1_same_rate_R04 | A_main_QC_12x24_Z32 | UniformParity | EbN0=1.25
[done] Exp1_same_rate_R04 | A_main_QC_12x24_Z32 | UniformParity | EbN0=1.5
[done] Exp1_same_rate_R04 | A_main_QC_12x24_Z32 | UniformParity | EbN0=1.75
[done] Exp1_same_rate_R04 | A_main_QC_12x24_Z32 | UniformParity | EbN0=2
[done] Exp1_same_rate_R04 | A_main_QC_12x24_Z32 | UniformParity | EbN0=2.25
[done] Exp1_same_rate_R04 | A_main_QC_12x24_Z32 | UniformParity | EbN0=2.5
[done] Exp1_same_EbN0 | A_main_QC_12x24_Z32 | NoRepeat | EbN0=1.5
[done] Exp1_same_EbN0 | A_main_QC_12x24_Z32 | NoRepeat | EbN0=1.75
[done] Exp1_same_EbN0 | A_main_QC_12x24_Z32 | NoRepeat | EbN0=2
[done] Exp1_same_EbN0 | A_main_QC_12x24_Z32 | NoRepeat | EbN0=2.25
[done] Exp1_same_EbN0 | A_main_QC_12x24_Z32 | NoRepeat | EbN0=2.5
[done] Exp1_same_EbN0 | A_main_QC_12x24_Z32 | UniformRepeat | EbN0=1.5
[done] Exp1_same_EbN0 | A_main_QC_12x24_Z32 | UniformRepeat | EbN0=1.75
[done] Exp1_same_EbN0 | A_main_QC_12x24_Z32 | UniformRepeat | EbN0=2
[done] Exp1_same_EbN0 | A_main_QC_12x24_Z32 | UniformRepeat | EbN0=2.25
[done] Exp1_same_EbN0 | A_main_QC_12x24_Z32 | UniformRepeat | EbN0=2.5
[done] Exp1_same_EbN0 | A_main_QC_12x24_Z32 | RepeatKeep | EbN0=1.5
[done] Exp1_same_EbN0 | A_main_QC_12x24_Z32 | RepeatKeep | EbN0=1.75
[done] Exp1_same_EbN0 | A_main_QC_12x24_Z32 | RepeatKeep | EbN0=2
[done] Exp1_same_EbN0 | A_main_QC_12x24_Z32 | RepeatKeep | EbN0=2.25
[done] Exp1_same_EbN0 | A_main_QC_12x24_Z32 | RepeatKeep | EbN0=2.5
[done] Exp1_same_EbN0 | A_main_QC_12x24_Z32 | UniformParity | EbN0=1.5
[done] Exp1_same_EbN0 | A_main_QC_12x24_Z32 | UniformParity | EbN0=1.75
[done] Exp1_same_EbN0 | A_main_QC_12x24_Z32 | UniformParity | EbN0=2
[done] Exp1_same_EbN0 | A_main_QC_12x24_Z32 | UniformParity | EbN0=2.25
[done] Exp1_same_EbN0 | A_main_QC_12x24_Z32 | UniformParity | EbN0=2.5
saved exp1_results.csv rows=44
