experiment,matrix,scheme,selected_mode,frames,n,k,tx_len,effective_rate,EbN0_dB,BER,BER_info,FER,FER_info,FER_code,AvgIter,bit_errors,info_bit_errors,frame_errors,code_frame_errors,upper95_if_zero_info,weak_concentration,block_imbalance,coupling_risk,rate_zone,hot_coverage_ratio,hot_top10_edge_share,hot_duplicate_pattern_ratio,hot_max_use_count,hot_pair_reuse_max,hot_quality_score,ext_coverage_ratio,ext_top10_edge_share,ext_duplicate_pattern_ratio,ext_max_use_count,ext_pair_reuse_max,ext_quality_score,adaptive_reason,selection_short_frames,selection_extra_decodes
Exp1_NoRepeat_baseline,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,20000,768,384,768,0.5,1.75,0.0295860677083,0.0419364583333,0.99935,0.99935,0.9994,45.43895,454442,322072,19987,19988,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_NoRepeat_baseline,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,20000,768,384,768,0.5,2,0.023925390625,0.0355760416667,0.99825,0.99825,0.99855,42.4267,367494,273224,19965,19971,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_NoRepeat_baseline,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,20000,768,384,768,0.5,2.25,0.0194430338542,0.0301264322917,0.995,0.995,0.996,38.63795,298645,231371,19900,19920,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_NoRepeat_baseline,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,20000,768,384,768,0.5,2.5,0.0157471354167,0.025469921875,0.99155,0.99155,0.9929,33.99845,241876,195609,19831,19858,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_NoRepeat_baseline,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,20000,768,384,768,0.5,2.75,0.012794921875,0.0214276041667,0.98,0.98,0.9828,28.9492,196530,164564,19600,19656,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_NoRepeat_baseline,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,20000,768,384,768,0.5,3,0.0105350260417,0.0182119791667,0.9654,0.9654,0.9691,23.9536,161818,139868,19308,19382,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformRepeat,UniformRepeat,20000,768,384,960,0.4,1.25,0.0496435546875,0.0547475260417,0.99985,0.99985,0.99995,48.9759,762525,420461,19997,19999,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformRepeat,UniformRepeat,20000,768,384,960,0.4,1.5,0.0397256510417,0.046050390625,0.99965,0.99965,0.99985,47.91255,610186,353667,19993,19997,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformRepeat,UniformRepeat,20000,768,384,960,0.4,1.75,0.0315102864583,0.0388669270833,0.9992,0.9992,0.9995,45.8754,483998,298498,19984,19990,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformRepeat,UniformRepeat,20000,768,384,960,0.4,2,0.0247751953125,0.0323981770833,0.9969,0.9969,0.99785,42.8779,380547,248818,19938,19957,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformRepeat,UniformRepeat,20000,768,384,960,0.4,2.25,0.0196463541667,0.027298828125,0.9932,0.9932,0.99485,39.23105,301768,209655,19864,19897,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformRepeat,UniformRepeat,20000,768,384,960,0.4,2.5,0.0156027994792,0.0229776041667,0.9868,0.9868,0.98895,34.6357,239659,176468,19736,19779,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,RepeatKeep,RepeatKeep,20000,768,384,960,0.4,1.25,0.0476000651042,0.0489545572917,0.99905,0.99905,0.9993,48.52875,731137,375971,19981,19986,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,RepeatKeep,RepeatKeep,20000,768,384,960,0.4,1.5,0.036935546875,0.0397397135417,0.9975,0.9975,0.9982,46.7673,567330,305201,19950,19964,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,RepeatKeep,RepeatKeep,20000,768,384,960,0.4,1.75,0.0282359375,0.0320407552083,0.99455,0.99455,0.9958,44.30135,433704,246073,19891,19916,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,RepeatKeep,RepeatKeep,20000,768,384,960,0.4,2,0.0210823567708,0.0252432291667,0.9831,0.9831,0.98675,40.19595,323825,193868,19662,19735,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,RepeatKeep,RepeatKeep,20000,768,384,960,0.4,2.25,0.0159313802083,0.020305859375,0.96595,0.96595,0.97095,35.48235,244706,155949,19319,19419,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,RepeatKeep,RepeatKeep,20000,768,384,960,0.4,2.5,0.0121472005208,0.016378515625,0.9444,0.9444,0.95215,30.6595,186581,125787,18888,19043,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformParity,UniformParity,20000,960,384,960,0.4,1.25,0.0368065625,0.0378783854167,0.912,0.912,0.9176,38.21635,706686,290906,18240,18352,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformParity,UniformParity,20000,960,384,960,0.4,1.5,0.0256646354167,0.0271747395833,0.86075,0.86075,0.8676,32.54665,492761,208702,17215,17352,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformParity,UniformParity,20000,960,384,960,0.4,1.75,0.0182882291667,0.0199389322917,0.80345,0.80345,0.81015,26.51075,351134,153131,16069,16203,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformParity,UniformParity,20000,960,384,960,0.4,2,0.0132977604167,0.0148450520833,0.7304,0.7304,0.73755,20.8979,255317,114010,14608,14751,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformParity,UniformParity,20000,960,384,960,0.4,2.25,0.0101418229167,0.0114350260417,0.6547,0.6547,0.66105,16.45475,194723,87821,13094,13221,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_rate_R04,A_main_QC_12x24_Z32,UniformParity,UniformParity,20000,960,384,960,0.4,2.5,0.00769067708333,0.00878020833333,0.5742,0.5742,0.58015,12.78635,147661,67432,11484,11603,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_EbN0,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,20000,768,384,768,0.5,1.5,0.0368736328125,0.04969921875,0.9997,0.9997,0.9998,47.69475,566379,381690,19994,19996,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_EbN0,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,20000,768,384,768,0.5,1.75,0.0295994140625,0.041879296875,0.99925,0.99925,0.9995,45.44555,454647,321633,19985,19990,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_EbN0,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,20000,768,384,768,0.5,2,0.024080078125,0.0357263020833,0.9982,0.9982,0.9988,42.48945,369870,274378,19964,19976,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp1_same_EbN0,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,20000,768,384,768,0.5,2.25,0.0194375651042,0.03012734375,0.9951,0.9951,0.99625,38.69635,298561,231378,19902,19925,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
