experiment,matrix,scheme,selected_mode,frames,n,k,tx_len,effective_rate,EbN0_dB,BER,BER_info,FER,FER_info,FER_code,AvgIter,bit_errors,info_bit_errors,frame_errors,code_frame_errors,upper95_if_zero_info,weak_concentration,block_imbalance,coupling_risk,rate_zone,hot_coverage_ratio,hot_top10_edge_share,hot_duplicate_pattern_ratio,hot_max_use_count,hot_pair_reuse_max,hot_quality_score,ext_coverage_ratio,ext_top10_edge_share,ext_duplicate_pattern_ratio,ext_max_use_count,ext_pair_reuse_max,ext_quality_score,adaptive_reason,selection_short_frames,selection_extra_decodes
Exp2_R0348_Hotspot_vs_UniformParity,A_main_QC_12x24_Z32,UniformParity,UniformParity,20000,1103,384,1103,0.348141432457,1.5,0.019488712602,0.017002734375,0.63605,0.63605,0.6419,27.3396,429921,130581,12721,12838,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp2_R0348_Hotspot_vs_UniformParity,A_main_QC_12x24_Z32,UniformParity,UniformParity,20000,1103,384,1103,0.348141432457,1.75,0.0133407978241,0.011776171875,0.5551,0.5551,0.5599,21.72295,294298,90441,11102,11198,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp2_R0348_Hotspot_vs_UniformParity,A_main_QC_12x24_Z32,UniformParity,UniformParity,20000,1103,384,1103,0.348141432457,2,0.00971591115141,0.00862877604167,0.47855,0.47855,0.482,17.24615,214333,66269,9571,9640,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp2_R0348_Hotspot_vs_UniformParity,A_main_QC_12x24_Z32,UniformParity,UniformParity,20000,1103,384,1103,0.348141432457,2.25,0.00728803263826,0.006496484375,0.4086,0.4086,0.41095,13.8524,160774,49893,8172,8219,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp2_R0348_Hotspot_vs_UniformParity,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,1.5,0.00439882139619,0.00329635416667,0.23535,0.23535,0.25865,14.92315,97038,25316,4707,5173,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp2_R0348_Hotspot_vs_UniformParity,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,1.75,0.00270689029918,0.00185442708333,0.1824,0.1824,0.20015,11.60345,59714,14242,3648,4003,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp2_R0348_Hotspot_vs_UniformParity,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,2,0.0017771532185,0.00120182291667,0.1357,0.1357,0.14755,9.01385,39204,9230,2714,2951,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp2_R0348_Hotspot_vs_UniformParity,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,2.25,0.00118807796917,0.000791927083333,0.0973,0.0973,0.10545,7.2908,26209,6082,1946,2109,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp2_R04_Hotspot_vs_UniformParity,A_main_QC_12x24_Z32,UniformParity,UniformParity,20000,960,384,960,0.4,1.5,0.0260547916667,0.0276240885417,0.8691,0.8691,0.87495,32.7825,500252,212153,17382,17499,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp2_R04_Hotspot_vs_UniformParity,A_main_QC_12x24_Z32,UniformParity,UniformParity,20000,960,384,960,0.4,1.75,0.0183974479167,0.0200319010417,0.80145,0.80145,0.80745,26.4488,353231,153845,16029,16149,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp2_R04_Hotspot_vs_UniformParity,A_main_QC_12x24_Z32,UniformParity,UniformParity,20000,960,384,960,0.4,2,0.0132706770833,0.0148061197917,0.7323,0.7323,0.7388,21.06265,254797,113711,14646,14776,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp2_R04_Hotspot_vs_UniformParity,A_main_QC_12x24_Z32,UniformParity,UniformParity,20000,960,384,960,0.4,2.25,0.01020078125,0.0115013020833,0.65805,0.65805,0.6643,16.60565,195855,88330,13161,13286,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp2_R04_Hotspot_vs_UniformParity,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,960,384,960,0.4,1.5,0.0141677083333,0.0123115885417,0.62495,0.62495,0.64235,21.67925,272020,94553,12499,12847,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp2_R04_Hotspot_vs_UniformParity,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,960,384,960,0.4,1.75,0.00963921875,0.0082875,0.54145,0.54145,0.55775,16.6842,185073,63648,10829,11155,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp2_R04_Hotspot_vs_UniformParity,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,960,384,960,0.4,2,0.00676953125,0.005736328125,0.4612,0.4612,0.47605,12.44645,129975,44055,9224,9521,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp2_R04_Hotspot_vs_UniformParity,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,960,384,960,0.4,2.25,0.00486927083333,0.00409622395833,0.39135,0.39135,0.40335,9.66195,93490,31459,7827,8067,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
