experiment,matrix,scheme,selected_mode,frames,n,k,tx_len,effective_rate,EbN0_dB,BER,BER_info,FER,FER_info,FER_code,AvgIter,bit_errors,info_bit_errors,frame_errors,code_frame_errors,upper95_if_zero_info,weak_concentration,block_imbalance,coupling_risk,rate_zone,hot_coverage_ratio,hot_top10_edge_share,hot_duplicate_pattern_ratio,hot_max_use_count,hot_pair_reuse_max,hot_quality_score,ext_coverage_ratio,ext_top10_edge_share,ext_duplicate_pattern_ratio,ext_max_use_count,ext_pair_reuse_max,ext_quality_score,adaptive_reason,selection_short_frames,selection_extra_decodes
Exp4_AdaptiveCore_R0348,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,1.75,0.00265584768812,0.001830078125,0.17915,0.17915,0.19555,11.4112,58588,14055,3583,3911,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp4_AdaptiveCore_R0348,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,2,0.00176396192203,0.00120716145833,0.1347,0.1347,0.1466,9.1254,38913,9271,2694,2932,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp4_AdaptiveCore_R0348,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,2.25,0.00123948322756,0.000814322916667,0.10105,0.10105,0.1095,7.40035,27343,6254,2021,2190,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp4_AdaptiveCore_R0348,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,1103,384,1103,0.348141432457,1.75,0.00422728921124,0.00295690104167,0.2958,0.2958,0.30615,8.69825,93254,22709,5916,6123,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp4_AdaptiveCore_R0348,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,1103,384,1103,0.348141432457,2,0.00296659111514,0.002065234375,0.23275,0.23275,0.2402,6.754,65443,15861,4655,4804,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp4_AdaptiveCore_R0348,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,1103,384,1103,0.348141432457,2.25,0.00231092475068,0.00159166666667,0.19505,0.19505,0.2007,5.6623,50979,12224,3901,4014,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp4_AdaptiveCore_R0348,A_main_QC_12x24_Z32,AdaptiveStructV2,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,1.75,0.002673118767,0.001845703125,0.1817,0.1817,0.1979,11.5235,58969,14175,3634,3958,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0.822916666667,0.136119402985,0,6,1,0.721217431565,1,0.113432835821,0,5,1,0.828420745165,hot_safe_static_gate,0,0
Exp4_AdaptiveCore_R0348,A_main_QC_12x24_Z32,AdaptiveStructV2,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,2,0.00178739800544,0.00121419270833,0.13505,0.13505,0.14725,9.10325,39430,9325,2701,2945,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0.822916666667,0.136119402985,0,6,1,0.721217431565,1,0.113432835821,0,5,1,0.828420745165,hot_safe_static_gate,0,0
Exp4_AdaptiveCore_R0348,A_main_QC_12x24_Z32,AdaptiveStructV2,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,2.25,0.00126881233001,0.000841796875,0.0998,0.0998,0.1077,7.2149,27990,6465,1996,2154,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0.822916666667,0.136119402985,0,6,1,0.721217431565,1,0.113432835821,0,5,1,0.828420745165,hot_safe_static_gate,0,0
Exp4_AdaptiveCore_R04,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,960,384,960,0.4,1.75,0.00965395833333,0.00829231770833,0.54815,0.54815,0.5638,16.63285,185356,63685,10963,11276,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp4_AdaptiveCore_R04,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,960,384,960,0.4,2,0.00675197916667,0.00572955729167,0.46515,0.46515,0.4795,12.65275,129638,44003,9303,9590,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp4_AdaptiveCore_R04,A_main_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,960,384,960,0.4,2.25,0.00503651041667,0.00423880208333,0.3921,0.3921,0.40415,9.80095,96701,32554,7842,8083,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp4_AdaptiveCore_R04,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,960,384,960,0.4,1.75,0.0110045833333,0.0101098958333,0.656,0.656,0.67355,16.93665,211288,77644,13120,13471,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp4_AdaptiveCore_R04,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,960,384,960,0.4,2,0.00794776041667,0.00728333333333,0.58,0.58,0.5949,12.6945,152597,55936,11600,11898,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp4_AdaptiveCore_R04,A_main_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,960,384,960,0.4,2.25,0.0061125,0.005623828125,0.5097,0.5097,0.5218,9.9601,117360,43191,10194,10436,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp4_AdaptiveCore_R04,A_main_QC_12x24_Z32,AdaptiveStructV2,HotspotOnlyParity,20000,960,384,960,0.4,1.75,0.0096184375,0.00827252604167,0.5464,0.5464,0.56355,16.6155,184674,63533,10928,11271,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0.822916666667,0.138541666667,0,4,1,0.71923608033,1,0.11875,0,3,1,0.824535919173,hot_safe_static_gate,0,0
Exp4_AdaptiveCore_R04,A_main_QC_12x24_Z32,AdaptiveStructV2,HotspotOnlyParity,20000,960,384,960,0.4,2,0.00674760416667,0.00571158854167,0.4598,0.4598,0.4738,12.5688,129554,43865,9196,9476,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0.822916666667,0.138541666667,0,4,1,0.71923608033,1,0.11875,0,3,1,0.824535919173,hot_safe_static_gate,0,0
Exp4_AdaptiveCore_R04,A_main_QC_12x24_Z32,AdaptiveStructV2,HotspotOnlyParity,20000,960,384,960,0.4,2.25,0.00499213541667,0.004184375,0.3933,0.3933,0.40435,9.56455,95849,32136,7866,8087,0,0.148828410453,0.624402847731,0.203125,middle_rate_limited_redundancy,0.822916666667,0.138541666667,0,4,1,0.71923608033,1,0.11875,0,3,1,0.824535919173,hot_safe_static_gate,0,0
Exp4_AdaptiveCore_R0348,B_balanced_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,1.75,0.000497325475975,0.000327083333333,0.03365,0.03365,0.03505,7.88075,10971,2512,673,701,0,0.160508751648,0.333531544223,0,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp4_AdaptiveCore_R0348,B_balanced_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,2,0.000238077969175,0.000156119791667,0.01915,0.01915,0.0201,6.3564,5252,1199,383,402,0,0.160508751648,0.333531544223,0,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp4_AdaptiveCore_R0348,B_balanced_QC_12x24_Z32,HotspotOnlyParity,HotspotOnlyParity,20000,1103,384,1103,0.348141432457,2.25,0.000146600181324,8.8671875e-05,0.0139,0.0139,0.01435,5.4747,3234,681,278,287,0,0.160508751648,0.333531544223,0,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp4_AdaptiveCore_R0348,B_balanced_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,1103,384,1103,0.348141432457,1.75,0.000600815956482,0.000482421875,0.01715,0.01715,0.0176,6.4363,13254,3705,343,352,0,0.160508751648,0.333531544223,0,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp4_AdaptiveCore_R0348,B_balanced_QC_12x24_Z32,ExtParityV2,ExtParityV2,20000,1103,384,1103,0.348141432457,2,0.000169809610154,0.000110416666667,0.009,0.009,0.00935,5.1933,3746,848,180,187,0,0.160508751648,0.333531544223,0,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
