experiment,matrix,scheme,selected_mode,frames,n,k,tx_len,effective_rate,EbN0_dB,BER,BER_info,FER,FER_info,FER_code,AvgIter,bit_errors,info_bit_errors,frame_errors,code_frame_errors,upper95_if_zero_info,weak_concentration,block_imbalance,coupling_risk,rate_zone,hot_coverage_ratio,hot_top10_edge_share,hot_duplicate_pattern_ratio,hot_max_use_count,hot_pair_reuse_max,hot_quality_score,ext_coverage_ratio,ext_top10_edge_share,ext_duplicate_pattern_ratio,ext_max_use_count,ext_pair_reuse_max,ext_quality_score,adaptive_reason,selection_short_frames,selection_extra_decodes
Exp5_Main_R0348,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,20000,768,384,768,0.5,1.5,0.0368505859375,0.0497546875,0.9999,0.9999,0.9999,47.5944,566025,382116,19998,19998,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp5_Main_R0348,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,20000,768,384,768,0.5,1.75,0.0297550130208,0.0421537760417,0.99905,0.99905,0.99935,45.4777,457037,323741,19981,19987,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp5_Main_R0348,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,20000,768,384,768,0.5,2,0.0239629557292,0.0355345052083,0.9977,0.9977,0.998,42.62865,368071,272905,19954,19960,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp5_Main_R0348,A_main_QC_12x24_Z32,NoRepeat,NoRepeat,20000,768,384,768,0.5,2.25,0.0193641276042,0.0300859375,0.9954,0.9954,0.99635,38.6266,297433,231060,19908,19927,0,0.148828410453,0.624402847731,0.203125,high_rate_small_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp5_Main_R0348,A_main_QC_12x24_Z32,RepeatKeep,RepeatKeep,20000,768,384,1103,0.348141432457,1.5,0.0344887369792,0.034006640625,0.9932,0.9932,0.99505,46.301,529747,261171,19864,19901,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp5_Main_R0348,A_main_QC_12x24_Z32,RepeatKeep,RepeatKeep,20000,768,384,1103,0.348141432457,1.75,0.0255100260417,0.0267509114583,0.98375,0.98375,0.98755,43.0712,391834,205447,19675,19751,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp5_Main_R0348,A_main_QC_12x24_Z32,RepeatKeep,RepeatKeep,20000,768,384,1103,0.348141432457,2,0.0184805338542,0.0208671875,0.96765,0.96765,0.9735,38.7163,283861,160260,19353,19470,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp5_Main_R0348,A_main_QC_12x24_Z32,RepeatKeep,RepeatKeep,20000,768,384,1103,0.348141432457,2.25,0.0134305989583,0.016173828125,0.9396,0.9396,0.94945,33.50255,206294,124215,18792,18989,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp5_Main_R0348,A_main_QC_12x24_Z32,UniformParity,UniformParity,20000,1103,384,1103,0.348141432457,1.5,0.0197104714415,0.0170717447917,0.64025,0.64025,0.6467,27.6102,434813,131111,12805,12934,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Exp5_Main_R0348,A_main_QC_12x24_Z32,UniformParity,UniformParity,20000,1103,384,1103,0.348141432457,1.75,0.0134988213962,0.0118786458333,0.5556,0.5556,0.55975,22.09315,297784,91228,11112,11195,0,0.148828410453,0.624402847731,0.203125,low_rate_large_redundancy,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
