[done] Exp3_R0348_Hotspot_vs_ExtParityV2 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=1.5
[done] Exp3_R0348_Hotspot_vs_ExtParityV2 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=1.75
[done] Exp3_R0348_Hotspot_vs_ExtParityV2 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2
[done] Exp3_R0348_Hotspot_vs_ExtParityV2 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2.25
[done] Exp3_R0348_Hotspot_vs_ExtParityV2 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2.5
[done] Exp3_R0348_Hotspot_vs_ExtParityV2 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=1.5
[done] Exp3_R0348_Hotspot_vs_ExtParityV2 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=1.75
[done] Exp3_R0348_Hotspot_vs_ExtParityV2 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=2
[done] Exp3_R0348_Hotspot_vs_ExtParityV2 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=2.25
[done] Exp3_R0348_Hotspot_vs_ExtParityV2 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=2.5
[done] Exp3_R04_Hotspot_vs_ExtParityV2 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=1.5
[done] Exp3_R04_Hotspot_vs_ExtParityV2 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=1.75
[done] Exp3_R04_Hotspot_vs_ExtParityV2 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2
[done] Exp3_R04_Hotspot_vs_ExtParityV2 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2.25
[done] Exp3_R04_Hotspot_vs_ExtParityV2 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2.5
[done] Exp3_R04_Hotspot_vs_ExtParityV2 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=1.5
[done] Exp3_R04_Hotspot_vs_ExtParityV2 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=1.75
[done] Exp3_R04_Hotspot_vs_ExtParityV2 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=2
[done] Exp3_R04_Hotspot_vs_ExtParityV2 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=2.25
[done] Exp3_R04_Hotspot_vs_ExtParityV2 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=2.5
[done] Exp3_R0348_Hotspot_vs_ExtParityV2 | B_balanced_QC_12x24_Z32 | HotspotOnlyParity | EbN0=1.5
[done] Exp3_R0348_Hotspot_vs_ExtParityV2 | B_balanced_QC_12x24_Z32 | HotspotOnlyParity | EbN0=1.75
[done] Exp3_R0348_Hotspot_vs_ExtParityV2 | B_balanced_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2
[done] Exp3_R0348_Hotspot_vs_ExtParityV2 | B_balanced_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2.25
[done] Exp3_R0348_Hotspot_vs_ExtParityV2 | B_balanced_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2.5
[done] Exp3_R0348_Hotspot_vs_ExtParityV2 | B_balanced_QC_12x24_Z32 | ExtParityV2 | EbN0=1.5
[done] Exp3_R0348_Hotspot_vs_ExtParityV2 | B_balanced_QC_12x24_Z32 | ExtParityV2 | EbN0=1.75
[done] Exp3_R0348_Hotspot_vs_ExtParityV2 | B_balanced_QC_12x24_Z32 | ExtParityV2 | EbN0=2
[done] Exp3_R0348_Hotspot_vs_ExtParityV2 | B_balanced_QC_12x24_Z32 | ExtParityV2 | EbN0=2.25
[done] Exp3_R0348_Hotspot_vs_ExtParityV2 | B_balanced_QC_12x24_Z32 | ExtParityV2 | EbN0=2.5
[done] Exp3_R04_Hotspot_vs_ExtParityV2 | B_balanced_QC_12x24_Z32 | HotspotOnlyParity | EbN0=1.5
[done] Exp3_R04_Hotspot_vs_ExtParityV2 | B_balanced_QC_12x24_Z32 | HotspotOnlyParity | EbN0=1.75
[done] Exp3_R04_Hotspot_vs_ExtParityV2 | B_balanced_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2
[done] Exp3_R04_Hotspot_vs_ExtParityV2 | B_balanced_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2.25
[done] Exp3_R04_Hotspot_vs_ExtParityV2 | B_balanced_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2.5
[done] Exp3_R04_Hotspot_vs_ExtParityV2 | B_balanced_QC_12x24_Z32 | ExtParityV2 | EbN0=1.5
[done] Exp3_R04_Hotspot_vs_ExtParityV2 | B_balanced_QC_12x24_Z32 | ExtParityV2 | EbN0=1.75
[done] Exp3_R04_Hotspot_vs_ExtParityV2 | B_balanced_QC_12x24_Z32 | ExtParityV2 | EbN0=2
[done] Exp3_R04_Hotspot_vs_ExtParityV2 | B_balanced_QC_12x24_Z32 | ExtParityV2 | EbN0=2.25
[done] Exp3_R04_Hotspot_vs_ExtParityV2 | B_balanced_QC_12x24_Z32 | ExtParityV2 | EbN0=2.5
saved exp3_results.csv rows=40
