[done] Exp4_AdaptiveCore_R0348 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=1.75
[done] Exp4_AdaptiveCore_R0348 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2
[done] Exp4_AdaptiveCore_R0348 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2.25
[done] Exp4_AdaptiveCore_R0348 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=1.75
[done] Exp4_AdaptiveCore_R0348 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=2
[done] Exp4_AdaptiveCore_R0348 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=2.25
[done] Exp4_AdaptiveCore_R0348 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=1.75
[done] Exp4_AdaptiveCore_R0348 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2
[done] Exp4_AdaptiveCore_R0348 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2.25
[done] Exp4_AdaptiveCore_R04 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=1.75
[done] Exp4_AdaptiveCore_R04 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2
[done] Exp4_AdaptiveCore_R04 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2.25
[done] Exp4_AdaptiveCore_R04 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=1.75
[done] Exp4_AdaptiveCore_R04 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=2
[done] Exp4_AdaptiveCore_R04 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=2.25
[done] Exp4_AdaptiveCore_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=1.75
[done] Exp4_AdaptiveCore_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2
[done] Exp4_AdaptiveCore_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2.25
[done] Exp4_AdaptiveCore_R0348 | B_balanced_QC_12x24_Z32 | HotspotOnlyParity | EbN0=1.75
[done] Exp4_AdaptiveCore_R0348 | B_balanced_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2
[done] Exp4_AdaptiveCore_R0348 | B_balanced_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2.25
[done] Exp4_AdaptiveCore_R0348 | B_balanced_QC_12x24_Z32 | ExtParityV2 | EbN0=1.75
[done] Exp4_AdaptiveCore_R0348 | B_balanced_QC_12x24_Z32 | ExtParityV2 | EbN0=2
[done] Exp4_AdaptiveCore_R0348 | B_balanced_QC_12x24_Z32 | ExtParityV2 | EbN0=2.25
[done] Exp4_AdaptiveCore_R0348 | B_balanced_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=1.75
[done] Exp4_AdaptiveCore_R0348 | B_balanced_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2
[done] Exp4_AdaptiveCore_R0348 | B_balanced_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2.25
[done] Exp4_AdaptiveCore_R04 | B_balanced_QC_12x24_Z32 | HotspotOnlyParity | EbN0=1.75
[done] Exp4_AdaptiveCore_R04 | B_balanced_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2
[done] Exp4_AdaptiveCore_R04 | B_balanced_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2.25
[done] Exp4_AdaptiveCore_R04 | B_balanced_QC_12x24_Z32 | ExtParityV2 | EbN0=1.75
[done] Exp4_AdaptiveCore_R04 | B_balanced_QC_12x24_Z32 | ExtParityV2 | EbN0=2
[done] Exp4_AdaptiveCore_R04 | B_balanced_QC_12x24_Z32 | ExtParityV2 | EbN0=2.25
[done] Exp4_AdaptiveCore_R04 | B_balanced_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=1.75
[done] Exp4_AdaptiveCore_R04 | B_balanced_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2
[done] Exp4_AdaptiveCore_R04 | B_balanced_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2.25
[done] Exp4_AdaptiveCore_R0348 | C_long_QC_14x28_Z32 | HotspotOnlyParity | EbN0=1.75
[done] Exp4_AdaptiveCore_R0348 | C_long_QC_14x28_Z32 | HotspotOnlyParity | EbN0=2
