[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | NoRepeat | EbN0=1.5
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | NoRepeat | EbN0=1.75
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | NoRepeat | EbN0=2
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | NoRepeat | EbN0=2.25
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | RepeatKeep | EbN0=1.5
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | RepeatKeep | EbN0=1.75
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | RepeatKeep | EbN0=2
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | RepeatKeep | EbN0=2.25
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | UniformParity | EbN0=1.5
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | UniformParity | EbN0=1.75
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | UniformParity | EbN0=2
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | UniformParity | EbN0=2.25
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=1.5
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=1.75
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2.25
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=1.5
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=1.75
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=2
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=2.25
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=1.5
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=1.75
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2
[done] Exp6_Main_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2.25
saved exp6_results.csv rows=24
