[done] Exp9_Engineering_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=1.75
[done] Exp9_Engineering_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2
[done] Exp9_Engineering_R04 | A_main_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2.25
[done] Exp9_Engineering_R04 | A_main_QC_12x24_Z32 | AdaptiveSelectV8 | EbN0=1.75
[done] Exp9_Engineering_R04 | A_main_QC_12x24_Z32 | AdaptiveSelectV8 | EbN0=2
[done] Exp9_Engineering_R04 | A_main_QC_12x24_Z32 | AdaptiveSelectV8 | EbN0=2.25
[done] Exp9_Engineering_R04 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=1.75
[done] Exp9_Engineering_R04 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=2
[done] Exp9_Engineering_R04 | A_main_QC_12x24_Z32 | ExtParityV2 | EbN0=2.25
[done] Exp9_Engineering_R04 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=1.75
[done] Exp9_Engineering_R04 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2
[done] Exp9_Engineering_R04 | A_main_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2.25
[done] Exp9_Engineering_R04 | B_balanced_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=1.75
[done] Exp9_Engineering_R04 | B_balanced_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2
[done] Exp9_Engineering_R04 | B_balanced_QC_12x24_Z32 | AdaptiveStructV2 | EbN0=2.25
[done] Exp9_Engineering_R04 | B_balanced_QC_12x24_Z32 | AdaptiveSelectV8 | EbN0=1.75
[done] Exp9_Engineering_R04 | B_balanced_QC_12x24_Z32 | AdaptiveSelectV8 | EbN0=2
[done] Exp9_Engineering_R04 | B_balanced_QC_12x24_Z32 | AdaptiveSelectV8 | EbN0=2.25
[done] Exp9_Engineering_R04 | B_balanced_QC_12x24_Z32 | ExtParityV2 | EbN0=1.75
[done] Exp9_Engineering_R04 | B_balanced_QC_12x24_Z32 | ExtParityV2 | EbN0=2
[done] Exp9_Engineering_R04 | B_balanced_QC_12x24_Z32 | ExtParityV2 | EbN0=2.25
[done] Exp9_Engineering_R04 | B_balanced_QC_12x24_Z32 | HotspotOnlyParity | EbN0=1.75
[done] Exp9_Engineering_R04 | B_balanced_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2
[done] Exp9_Engineering_R04 | B_balanced_QC_12x24_Z32 | HotspotOnlyParity | EbN0=2.25
saved exp9_results.csv rows=24
